6983	594	3	33.05
5117	454	5	52.12
1698	3213	3	29.68
179	263	16	37.18
570	107	22	23.28
174	553	5	7.53
109	2367	7	12.71
4326	955	5	55.58
174	486	6	9.46
570	160	8	17.85
3777	102	6	10.41
388	203	5	8.31
21	3046	5	26.32
165	1840	3	7.63
360	182	6	7.4
7125	163	3	21.42
5956	605	4	43.98
440	404	3	8.07
480	702	3	11.13
111	5900	3	7.23
214	896	6	21.58
128	115	76	6.82
3758	12	6	6.99
1788	12	14	10.6
102	152	190	21.56
163	4803	3	14.8
234	122	80	280.81
135	3753	3	9.64
589	57	16	17.11
1175	184	4	10.12
102	201	110	36.03
132	2720	4	13.3
4070	141	3	11.85
117	2456	5	10.38
104	5684	4	7.89
245	1066	3	8.69
151	3940	4	19.03
397	217	5	8.91
5411	1622	3	39.66
409	4586	5	51.24
119	1301	7	9.59
164	2325	3	9.14
2128	1143	4	36.63
425	134	10	10.05
468	1188	3	13.78
154	141	24	9.57
2285	111	5	6.77
661	102	34	34.67
913	189	4	9.65
121	4153	3	7.28
281	135	12	10.38
102	398	43	15.45
527	320	3	7.47
105	5864	4	8.28
102	450	57	99.29
272	115	36	49.03
1029	3409	5	52.18
2794	12	9	10.48
156	1604	4	10.58
161	109	63	12.49
6355	102	4	6.94
2264	162	3	8.47
1002	890	5	34.77
492	119	20	35.63
1192	185	3	7.09
247	210	12	26.85
1099	105	22	45.63
1554	125	5	8.15
3648	103	7	12.96
401	471	3	7.99
134	3303	4	12.91
427	103	34	8.53
1623	106	14	21.81
142	116	72	29.4
1767	137	8	29.76
811	14	29	6.67
664	1205	3	16.13
356	181	16	46.77
118	151	49	10.5
2163	133	3	6.85
106	3549	6	8.87
124	2981	5	15.56
6987	645	3	33.36
142	225	25	38.41
125	3895	3	7.96
8619	4358	3	46.35
496	533	3	9.72
6393	106	4	9.23
132	118	57	11.8
108	473	22	16.27
126	3471	4	12.01
616	144	6	7.16
1519	106	11	6.65
132	179	93	320.97
1088	101	24	24.35
585	106	24	11.72
390	857	4	17.3
148	1684	5	13.38
904	311	3	11.18
6347	366	4	40.29
408	377	29	235.48
132	279	11	8.65
3641	377	7	74.04
585	6417	4	44.17
1066	245	3	8.69
158	2030	3	7.61
57	3648	4	7.89
204	350	7	14.26
119	4895	3	8.07
1235	588	4	23.07
2564	103	8	6.82
3014	16	3	9.43
3505	112	4	7.18
164	1816	3	7.24
4343	120	3	7.16
5748	105	4	8.28
1378	1115	3	20.08
5154	159	5	35.88
170	245	11	12.35
1492	2243	3	24.98
131	248	22	28.87
582	341	4	14.31
622	1200	3	16.74
2505	146	6	26.06
1053	101	22	12.23
3983	139	3	10.63
2893	101	9	9.12
4588	118	4	14.96
449	14	46	10.58
101	3409	7	7.09
660	193	23	140.81
1826	532	15	165.42
5595	111	4	15.21
302	786	3	9.23
640	180	5	8.96
2450	154	3	7.97
3088	115	4	8.23
119	530	11	8.25
9	2486	3	7.31
3794	119	3	6.67
154	1584	4	9.44
238	883	3	7.48
920	238	3	7.67
428	383	4	12.08
3751	1371	7	90.69
104	2224	10	10.79
302	614	3	8
8	501	10	17.14
2709	503	7	68.88
107	147	91	7.83
4887	104	5	9.86
1468	126	5	7.59
153	1772	4	10.54
138	176	24	13.36
1998	111	6	7.14
227	953	3	7.34
3877	240	3	18.17
14	358	68	9.64
166	340	8	10.75
3041	6594	3	44.08
1887	263	3	12.94
915	145	6	10.84
1556	491	5	32.6
1003	12	22	9.86
148	555	8	12.67
128	3488	3	8.07
635	130	8	10.02
1387	1134	3	20.43
313	126	13	8.03
1824	1174	3	21.89
172	119	47	19.94
138	4497	5	31.52
1232	102	22	38.22
1647	127	5	10.53
213	470	4	6.93
506	274	5	14.67
5977	226	4	34.38
313	219	6	10.7
597	379	5	20.63
8297	107	3	10.29
449	670	10	76.43
107	2549	6	8.71
149	2827	3	8.8
105	616	24	8.15
2206	134	4	9.16
2354	138	3	6.71
242	134	25	32.9
545	174	12	37.76
296	145	16	25.08
103	5733	4	7.41
676	122	8	8.52
110	12	946	27.66
159	113	52	11.84
830	512	3	12.64
104	580	28	13.66
842	806	4	23.33
2960	102	9	15.62
2550	117	4	7.19
114	3459	7	32.66
270	231	19	72.82
7908	265	3	27.6
1383	7149	3	38.1
115	610	11	9.03
4848	237	5	43.86
377	6594	3	31.5
101	1254	21	21.3
773	324	4	14.85
588	1036	4	21.97
6012	5923	4	70.59
291	223	6	9.19
603	560	3	11.75
176	533	5	6.91
128	1755	4	6.78
