14	2112	22
101	366	31
131	9697	13
1202	8753	10
12	7145	14
12	7207	12
102	3847	17
205	4648	32
111	7505	0
300	5422	26
251	4780	17
106	8832	35
25717	5386	1
179	9666	12
748	9143	17
104	3083	12
34595	8331	2
4339	438	18
101	6848	3
112	8341	13
277	9657	10
1675	630	1
108	93	7
5154	4105	21
105	1258	5
1396	8394	21
107	979	17
12	9286	9
1100	782	15
2155	1639	9
101	5335	41
6031	9762	17
17779	4473	4
1354	8331	2
687	7279	18
170	3404	2
129	9712	33
12	518	4
5322	1567	0
970	269	2
101	6726	21
32756	4015	30
13107	6349	19
101	2607	1
1786	9691	5
339	3246	6
225	2632	34
664	2556	6
1628	7775	0
12	1807	6
102	1443	19
150	7098	4
149	9405	20
101	1380	12
131	2721	8
105	6	27
14	3503	25
105	6049	13
14	9957	15
114	7392	26
101	9450	3
12	5415	4
25268	1674	36
102	6785	10
31453	3194	4
177	3385	22
14	6216	13
858	5534	9
156	1565	19
105	9699	8
110	5585	6
37156	7420	12
1601	5851	15
2604	1526	20
238	722	15
4107	7628	12
782	3133	29
118	3115	3
212	8323	12
1085	4517	27
108	2490	22
305	9580	0
2474	3511	22
629	9998	30
1618	5229	27
173	145	0
755	7242	8
311	2386	0
467	4742	6
12	1359	4
5974	8583	25
690	753	7
211	3043	6
102	4739	7
140	2363	12
17099	160	7
875	6142	4
12	1928	4
12	7461	9
1001	2649	6
9525	1809	2
144	6850	15
6406	5210	3
11854	1615	3
4789	8087	12
12	6479	1
302	9350	15
3172	149	18
1794	9675	3
132	3204	17
12	5189	26
603	2426	15
123	3056	7
15242	45	0
30994	9210	14
1191	633	7
21	9524	14
107	8886	6
15589	7499	3
2867	5997	11
4674	6404	2
21784	2231	5
36994	5325	6
104	9152	10
1442	6712	10
31024	269	2
1290	7604	7
9155	1619	0
108	9081	6
110	1648	2
118	9960	19
101	5253	10
316	4195	18
149	7702	4
213	3009	6
2953	2062	5
14	5052	41
109	9427	2
114	2190	8
329	4504	15
14	7695	9
19096	5500	9
8940	6426	18
2601	5207	15
5299	1166	0
989	6008	27
101	7879	5
7	5118	15
3732	4005	26
33931	6202	24
677	3710	17
3534	7259	1
14	8229	9
5604	8831	0
442	2089	17
1239	9271	44
105	4449	11
493	1298	2
244	9365	13
2643	7735	23
400	9808	0
156	3069	4
142	3811	19
1779	8813	15
121	3100	5
244	7132	7
127	122	7
217	3115	10
601	2237	19
102	9414	4
112	5736	33
139	6334	12
14	6919	31
105	5806	29
579	254	3
106	4595	15
28608	2545	6
102	4426	3
30718	6086	10
102	7589	4
14	3580	46
371	554	8
336	5079	41
126	4537	1
113	4800	1
6970	1765	19
1504	639	2
524	1938	19
2320	972	16
14	3809	31
7709	2271	4
3497	7260	24
1122	8590	20
12501	3070	6
5005	9332	34
30870	8348	18
461	3462	10
392	4928	4
830	4231	16
281	1269	6
199	7402	21
109	310	17
12	1223	22
7400	1490	7
6793	5393	26
21879	2337	11
375	4710	19
21448	9492	2
13153	111	15
239	9371	10
4575	6544	1
149	9425	14
12	5898	8
12	3495	5
3559	6137	37
105	3873	12
388	1583	1
11407	1874	12
133	1834	10
1087	4195	19
294	4127	13
829	4358	10
